HGNC	Tissue
TOM1	skin 1
TOM1	skin 2
TOM1	cervix, uterine
TOM1	colon
TOM1	colon
TOM1	duodenum
TOM1	endometrium 1
TOM1	caudate
TOM1	placenta
TOM1	prostate
TOM1	rectum
TOM1	salivary gland
TOM1	esophagus
TOM1	testis
TOM1	thyroid gland
TOM1	tonsil
TOM1	tonsil
TOM1	heart muscle
TOM1	hippocampus
TOM1	hippocampus
TOM1	kidney
TOM1	kidney
TOM1	liver
TOM1	liver
TOM1	lung
TOM1	epididymis
TOM1	testis
TOM1	oral mucosa
TOM1	lymph node
TOM1	lymph node
TOM1	nasopharynx
TOM1	parathyroid gland
TOM1	ovary
TOM1	pancreas
TOM1	pancreas
TOM1	stomach 2
TOM1	endometrium 2
TOM1	endometrium 2
TOM1	stomach 1
TOM1	smooth muscle
TOM1	soft tissue 1
TOM1	soft tissue 1
TOM1	small intestine
TOM1	soft tissue 2
TOM1	endometrium 1
TOM1	spleen
TOM1	soft tissue 1
TOM1	vagina
TOM1	tonsil
TOM1	spleen
TOM1	urinary bladder
VTI1B	cerebral cortex
VTI1B	soft tissue 1
VTI1B	cerebral cortex
VTI1B	cerebral cortex
VTI1B	cervix, uterine
VTI1B	soft tissue 1
VTI1B	thyroid gland
VTI1B	vagina
VTI1B	appendix
VTI1B	bone marrow
VTI1B	tonsil
VTI1B	breast
VTI1B	breast
VTI1B	bronchus
VTI1B	breast
VTI1B	testis
VTI1B	liver
VTI1B	tonsil
VTI1B	tonsil
VTI1B	cerebral cortex
VTI1B	rectum
VTI1B	salivary gland
VTI1B	seminal vesicle
VTI1B	skeletal muscle
VTI1B	cervix, uterine
VTI1B	colon
VTI1B	colon
VTI1B	colon
VTI1B	duodenum
VTI1B	endometrium 1
VTI1B	endometrium 1
VTI1B	endometrium 2
VTI1B	endometrium 2
VTI1B	epididymis
